electricity,water,transport,waste,heating,carbon_footprint
300,150,100,50,250,6.5
350,180,120,60,300,7.2
400,200,150,70,350,8.0
250,130,80,40,200,5.0
500,220,180,90,450,9.3
450,210,160,80,400,8.7
380,190,140,75,350,7.8
420,230,170,85,410,8.5
360,170,130,65,320,7.3
440,200,155,72,380,8.1
310,160,110,55,260,6.8
370,180,140,68,330,7.5
460,220,165,88,420,8.9
390,210,145,78,370,8.0
330,180,125,63,300,7.1
520,240,190,95,460,9.6
330,175,115,58,280,6.9
310,155,105,53,270,6.7
380,185,135,70,340,7.6
430,215,160,75,390,8.3
360,190,120,65,310,7.2
380,200,130,66,330,7.4
390,210,140,80,350,7.9
360,180,115,60,320,7.1
440,230,160,85,390,8.4
330,170,110,50,270,6.5
320,160,105,58,280,6.7
310,150,100,54,250,6.2
380,210,150,78,340,7.8
420,250,180,90,420,9.0
450,240,170,85,400,8.8
340,175,120,65,310,7.0
370,185,130,70,320,7.3
480,260,200,95,450,9.4
350,180,125,60,330,7.3
460,230,190,90,420,9.1
430,220,160,80,380,8.2
420,215,150,75,370,8.0
390,200,140,80,350,7.8
450,230,170,85,400,8.6
320,170,110,55,280,6.8
500,250,180,90,460,9.5
380,200,130,65,330,7.6
390,210,145,80,370,8.0
440,230,160,85,410,8.3
460,240,170,90,430,8.9
